id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,liveness,speechiness,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.12,0.05,0.02
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.08,0.03,0.88
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.21,0.06,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.06,0.02,0.92
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.15,0.08,0.01
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.05,0.01,0.97
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.31,0.04,0.74
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.09,0.03,0.85
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.07,0.02,0.91
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.18,0.06,0.05
11,Cracked Pavement,Dusty Fret,folk,nostalgic,0.38,85,0.44,0.45,0.91,0.42,0.07,0.18
12,3AM Spiral,Hollow Keys,r&b,sad,0.31,68,0.28,0.50,0.55,0.14,0.12,0.08
13,Neon Jungle,BVSSLINE,hip-hop,energetic,0.87,142,0.72,0.91,0.08,0.19,0.34,0.00
14,Velvet Static,Mara Sol,r&b,romantic,0.52,94,0.76,0.68,0.42,0.11,0.09,0.04
15,Iron Curtain,Deadweight,metal,angry,0.97,168,0.22,0.61,0.03,0.28,0.05,0.06
16,Sunday Prelude,Clara Voss,classical,peaceful,0.21,58,0.67,0.29,0.97,0.09,0.01,0.98
17,Drop Zone,Flux State,edm,energetic,0.94,138,0.80,0.95,0.04,0.13,0.02,0.82
18,Porch Light,Wren & Oak,folk,nostalgic,0.33,76,0.55,0.41,0.88,0.38,0.06,0.22
